"Corpus"	"CorpusIso"	"Points"	"Recognizer"	"Iso"	"Words"	"Cer"	"WordQ3"	"Coverage"	"Agreement"	"TokenLen"	"GapP25"	"GapP50"	"GapP75"	"GapMax"
"Greek"	"Grek"	"16"	"en-US"	"Latn"	"12"	"0.5312"	"17"	"0.1284"	"1"	"3.83"	"0.353"	"0.412"	"0.412"	"6.143"
"Greek"	"Grek"	"16"	"fr-FR"	"Latn"	"12"	"0.5"	"17"	"0.1631"	"1"	"4.58"	"0.353"	"0.412"	"0.412"	"6.143"
"Greek"	"Grek"	"16"	"zh-Hans-CN"	"Hans"	"27"	"0.625"	"17"	"0.1488"	"0.2593"	"2"	"0.059"	"0.118"	"0.412"	"2.238"
"Greek"	"Grek"	"16"	"zh-Hant-HK"	"Hant"	"18"	"0.625"	"17"	"0.1761"	"0.0357"	"3.33"	"0.333"	"0.412"	"0.471"	"2.412"
"Greek"	"Grek"	"16"	"zh-Hant-TW"	"Hant"	"18"	"0.625"	"17"	"0.1761"	"0.0357"	"3.33"	"0.333"	"0.412"	"0.471"	"2.412"
"Greek"	"Grek"	"24"	"ar-SA"	"Arab"	"13"	"0.5312"	"27"	"0.2491"	"0"	"5.08"	"0.355"	"0.37"	"0.407"	"0.481"
"Greek"	"Grek"	"24"	"de-DE"	"Latn"	"12"	"0.5312"	"27"	"0.2011"	"1"	"4.5"	"0.37"	"0.37"	"0.407"	"0.444"
"Greek"	"Grek"	"24"	"en-US"	"Latn"	"13"	"0.5469"	"27"	"0.2068"	"1"	"4.23"	"0.333"	"0.37"	"0.407"	"0.444"
"Greek"	"Grek"	"24"	"fr-FR"	"Latn"	"11"	"0.5"	"27"	"0.1594"	"1"	"4.18"	"0.37"	"0.37"	"0.407"	"6.419"
"Greek"	"Grek"	"24"	"zh-Hans-CN"	"Hans"	"24"	"0.6094"	"27"	"0.1963"	"0.2222"	"2.46"	"0.111"	"0.259"	"0.37"	"2.355"
"Greek"	"Grek"	"24"	"zh-Hant-HK"	"Hant"	"20"	"0.5469"	"27"	"0.1849"	"0.1905"	"2.75"	"0.065"	"0.37"	"0.407"	"3.129"
"Greek"	"Grek"	"24"	"zh-Hant-TW"	"Hant"	"20"	"0.5469"	"27"	"0.1849"	"0.1905"	"2.75"	"0.065"	"0.37"	"0.407"	"3.129"
"Arabic"	"Arab"	"10"	"ar-SA"	"Arab"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"Arabic"	"Arab"	"10"	"de-DE"	"Latn"	"9"	"0.5238"	"10"	"0.0741"	"1"	"3.67"	"0.4"	"0.4"	"0.5"	"0.5"
"Arabic"	"Arab"	"10"	"en-US"	"Latn"	"9"	"0.5238"	"10"	"0.0741"	"1"	"3.67"	"0.4"	"0.4"	"0.5"	"0.5"
"Arabic"	"Arab"	"10"	"fr-FR"	"Latn"	"9"	"0.5079"	"10"	"0.0741"	"1"	"3.67"	"0.4"	"0.4"	"0.5"	"0.5"
"Arabic"	"Arab"	"10"	"zh-Hans-CN"	"Hans"	"17"	"0.6349"	"10"	"0.0633"	"0.3333"	"1.71"	"0.1"	"0.4"	"0.4"	"1.7"
"Arabic"	"Arab"	"10"	"zh-Hant-HK"	"Hant"	"12"	"0.6032"	"10"	"0.0675"	"0"	"2.5"	"0.4"	"0.4"	"0.5"	"1.2"
"Arabic"	"Arab"	"10"	"zh-Hant-TW"	"Hant"	"12"	"0.6032"	"10"	"0.0675"	"0"	"2.5"	"0.4"	"0.4"	"0.5"	"1.2"
"Arabic"	"Arab"	"12"	"ar-SA"	"Arab"	"13"	"0.4286"	"13"	"0.147"	"0.7778"	"4.69"	"0.25"	"0.312"	"0.417"	"0.5"
"Arabic"	"Arab"	"12"	"de-DE"	"Latn"	"10"	"0.5556"	"12"	"0.0828"	"1"	"3.3"	"0.333"	"0.333"	"0.417"	"0.5"
"Arabic"	"Arab"	"12"	"en-US"	"Latn"	"10"	"0.5714"	"12"	"0.0828"	"1"	"3.3"	"0.333"	"0.333"	"0.417"	"0.5"
"Arabic"	"Arab"	"12"	"fr-FR"	"Latn"	"9"	"0.5714"	"12"	"0.0743"	"1"	"3.22"	"0.333"	"0.417"	"0.5"	"2.75"
"Arabic"	"Arab"	"12"	"zh-Hans-CN"	"Hans"	"17"	"0.619"	"12"	"0.0768"	"0.2"	"1.94"	"0.083"	"0.333"	"0.417"	"0.5"
"Arabic"	"Arab"	"12"	"zh-Hant-HK"	"Hant"	"11"	"0.5873"	"12"	"0.0808"	"0.125"	"2.82"	"0.25"	"0.333"	"0.333"	"1.5"
"Arabic"	"Arab"	"12"	"zh-Hant-TW"	"Hant"	"11"	"0.5873"	"12"	"0.0808"	"0.125"	"2.82"	"0.25"	"0.333"	"0.333"	"1.5"
"Arabic"	"Arab"	"16"	"ar-SA"	"Arab"	"15"	"0.4286"	"17"	"0.1593"	"0.7895"	"4.2"	"0.35"	"0.4"	"0.467"	"0.533"
"Arabic"	"Arab"	"16"	"de-DE"	"Latn"	"9"	"0.5873"	"15"	"0.0942"	"1"	"3.67"	"0.467"	"0.467"	"0.467"	"0.533"
"Arabic"	"Arab"	"16"	"en-US"	"Latn"	"9"	"0.6032"	"15"	"0.0942"	"1"	"3.67"	"0.467"	"0.467"	"0.467"	"0.533"
"Arabic"	"Arab"	"16"	"fr-FR"	"Latn"	"8"	"0.5714"	"15"	"0.0959"	"1"	"4.12"	"0.467"	"0.467"	"0.467"	"0.533"
"Arabic"	"Arab"	"16"	"zh-Hans-CN"	"Hans"	"16"	"0.6032"	"15"	"0.0844"	"0.2"	"2"	"0.067"	"0.4"	"0.467"	"0.733"
"Arabic"	"Arab"	"16"	"zh-Hant-HK"	"Hant"	"10"	"0.5556"	"15"	"0.0911"	"0"	"3.2"	"0.467"	"0.467"	"0.467"	"0.733"
"Arabic"	"Arab"	"16"	"zh-Hant-TW"	"Hant"	"10"	"0.5556"	"15"	"0.0911"	"0"	"3.2"	"0.467"	"0.467"	"0.467"	"0.733"
"Arabic"	"Arab"	"24"	"ar-SA"	"Arab"	"15"	"0.4286"	"26"	"0.1993"	"0.7895"	"4.2"	"0.367"	"0.4"	"0.435"	"0.478"
"Arabic"	"Arab"	"24"	"de-DE"	"Latn"	"11"	"0.5238"	"23"	"0.1294"	"1"	"3.82"	"0.435"	"0.435"	"0.435"	"0.522"
"Arabic"	"Arab"	"24"	"en-US"	"Latn"	"10"	"0.5397"	"23"	"0.1134"	"1"	"3.3"	"0.435"	"0.435"	"0.435"	"0.522"
"Arabic"	"Arab"	"24"	"fr-FR"	"Latn"	"10"	"0.5079"	"23"	"0.1314"	"1"	"4.4"	"0.435"	"0.435"	"0.478"	"0.522"
"Arabic"	"Arab"	"24"	"zh-Hans-CN"	"Hans"	"18"	"0.6032"	"23"	"0.1028"	"0"	"1.83"	"0.174"	"0.391"	"0.435"	"0.522"
"Arabic"	"Arab"	"24"	"zh-Hant-HK"	"Hant"	"10"	"0.5397"	"23"	"0.1134"	"0"	"3.3"	"0.435"	"0.435"	"0.435"	"0.522"
"Arabic"	"Arab"	"24"	"zh-Hant-TW"	"Hant"	"10"	"0.5397"	"23"	"0.1134"	"0"	"3.3"	"0.435"	"0.435"	"0.435"	"0.522"
"Hans"	"Hans"	"10"	"ar-SA"	"Arab"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"Hans"	"Hans"	"10"	"de-DE"	"Latn"	"10"	"0.4444"	"12"	"0.0679"	"1"	"3.3"	"0.417"	"0.417"	"0.417"	"0.417"
"Hans"	"Hans"	"10"	"en-US"	"Latn"	"10"	"0.463"	"12"	"0.0679"	"1"	"3.3"	"0.417"	"0.417"	"0.417"	"0.417"
"Hans"	"Hans"	"10"	"fr-FR"	"Latn"	"10"	"0.4259"	"12"	"0.0679"	"1"	"3.3"	"0.417"	"0.417"	"0.417"	"0.417"
"Hans"	"Hans"	"10"	"zh-Hans-CN"	"Hans"	"35"	"0.4074"	"12"	"0.1354"	"0.7692"	"1.4"	"0.083"	"0.083"	"0.417"	"1.167"
"Hans"	"Hans"	"10"	"zh-Hant-HK"	"Hant"	"29"	"0.2778"	"12"	"0.1203"	"0.619"	"1.62"	"0.083"	"0.333"	"0.417"	"3.333"
"Hans"	"Hans"	"10"	"zh-Hant-TW"	"Hant"	"29"	"0.2778"	"12"	"0.1203"	"0.619"	"1.62"	"0.083"	"0.333"	"0.417"	"3.333"
"Hans"	"Hans"	"12"	"ar-SA"	"Arab"	"9"	"0.4259"	"14"	"0.0767"	"0"	"3.67"	"0.357"	"0.429"	"0.429"	"0.429"
"Hans"	"Hans"	"12"	"de-DE"	"Latn"	"10"	"0.4444"	"14"	"0.0756"	"1"	"3.3"	"0.357"	"0.429"	"0.429"	"0.429"
"Hans"	"Hans"	"12"	"en-US"	"Latn"	"10"	"0.463"	"14"	"0.0756"	"1"	"3.3"	"0.357"	"0.429"	"0.429"	"0.429"
"Hans"	"Hans"	"12"	"fr-FR"	"Latn"	"9"	"0.4259"	"14"	"0.0767"	"1"	"3.67"	"0.357"	"0.429"	"0.429"	"0.429"
"Hans"	"Hans"	"12"	"zh-Hans-CN"	"Hans"	"38"	"0.2593"	"15"	"0.1523"	"0.7037"	"1.37"	"0.067"	"0.143"	"0.357"	"1.133"
"Hans"	"Hans"	"12"	"zh-Hant-HK"	"Hant"	"30"	"0.2407"	"15"	"0.1588"	"0.68"	"1.77"	"0"	"0.067"	"0.357"	"1.133"
"Hans"	"Hans"	"12"	"zh-Hant-TW"	"Hant"	"30"	"0.2407"	"15"	"0.1588"	"0.68"	"1.77"	"0"	"0.067"	"0.357"	"1.133"
"Hans"	"Hans"	"16"	"ar-SA"	"Arab"	"9"	"0.4259"	"19"	"0.0885"	"0"	"3.67"	"0.368"	"0.421"	"0.474"	"0.474"
"Hans"	"Hans"	"16"	"de-DE"	"Latn"	"10"	"0.4444"	"19"	"0.0873"	"1"	"3.3"	"0.368"	"0.368"	"0.421"	"0.474"
"Hans"	"Hans"	"16"	"en-US"	"Latn"	"10"	"0.463"	"19"	"0.0873"	"1"	"3.3"	"0.368"	"0.368"	"0.421"	"0.474"
"Hans"	"Hans"	"16"	"fr-FR"	"Latn"	"9"	"0.4259"	"19"	"0.0885"	"1"	"3.67"	"0.368"	"0.421"	"0.474"	"0.474"
"Hans"	"Hans"	"16"	"zh-Hans-CN"	"Hans"	"37"	"0.1852"	"19"	"0.1803"	"0.7407"	"1.41"	"0.048"	"0.053"	"0.316"	"2"
"Hans"	"Hans"	"16"	"zh-Hant-HK"	"Hant"	"30"	"0.1481"	"19"	"0.189"	"0.6923"	"1.77"	"0.048"	"0.048"	"0.368"	"1.048"
"Hans"	"Hans"	"16"	"zh-Hant-TW"	"Hant"	"30"	"0.1481"	"19"	"0.189"	"0.6923"	"1.77"	"0.048"	"0.048"	"0.368"	"1.048"
"Hans"	"Hans"	"24"	"ar-SA"	"Arab"	"9"	"0.4259"	"28"	"0.113"	"0"	"3.67"	"0.393"	"0.393"	"0.393"	"0.393"
"Hans"	"Hans"	"24"	"de-DE"	"Latn"	"10"	"0.4444"	"29"	"0.1108"	"1"	"3.3"	"0.345"	"0.379"	"0.414"	"0.448"
"Hans"	"Hans"	"24"	"en-US"	"Latn"	"10"	"0.4815"	"29"	"0.1108"	"1"	"3.2"	"0.345"	"0.379"	"0.414"	"0.448"
"Hans"	"Hans"	"24"	"fr-FR"	"Latn"	"9"	"0.4259"	"29"	"0.1126"	"1"	"3.67"	"0.379"	"0.414"	"0.414"	"0.448"
"Hans"	"Hans"	"24"	"zh-Hans-CN"	"Hans"	"37"	"0.1667"	"30"	"0.2339"	"0.7241"	"1.43"	"0.031"	"0.094"	"0.345"	"1.031"
"Hans"	"Hans"	"24"	"zh-Hant-HK"	"Hant"	"30"	"0.1667"	"30"	"0.2399"	"0.75"	"1.7"	"0.031"	"0.069"	"0.379"	"1.031"
"Hans"	"Hans"	"24"	"zh-Hant-TW"	"Hant"	"30"	"0.1667"	"30"	"0.2399"	"0.75"	"1.7"	"0.031"	"0.069"	"0.379"	"1.031"
"Hant"	"Hant"	"10"	"ar-SA"	"Arab"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"
"Hant"	"Hant"	"10"	"de-DE"	"Latn"	"7"	"0.6111"	"11"	"0.052"	"1"	"3.29"	"0.182"	"0.273"	"0.273"	"2.818"
"Hant"	"Hant"	"10"	"en-US"	"Latn"	"7"	"0.6111"	"11"	"0.052"	"1"	"3.29"	"0.182"	"0.273"	"0.273"	"2.818"
"Hant"	"Hant"	"10"	"fr-FR"	"Latn"	"7"	"0.6111"	"11"	"0.052"	"1"	"3.29"	"0.182"	"0.273"	"0.273"	"2.818"
"Hant"	"Hant"	"10"	"zh-Hans-CN"	"Hans"	"30"	"0.5556"	"11"	"0.0987"	"0.5909"	"1.43"	"0.091"	"0.182"	"0.273"	"4.5"
"Hant"	"Hant"	"10"	"zh-Hant-HK"	"Hant"	"19"	"0.4259"	"11"	"0.0856"	"0.3571"	"2"	"0.182"	"0.273"	"0.273"	"11.636"
"Hant"	"Hant"	"10"	"zh-Hant-TW"	"Hant"	"19"	"0.4259"	"11"	"0.0856"	"0.3571"	"2"	"0.182"	"0.273"	"0.273"	"11.636"
"Hant"	"Hant"	"12"	"ar-SA"	"Arab"	"9"	"0.463"	"14"	"0.0783"	"0"	"3.67"	"0.214"	"0.357"	"0.357"	"0.357"
"Hant"	"Hant"	"12"	"de-DE"	"Latn"	"9"	"0.4444"	"14"	"0.0783"	"1"	"3.67"	"0.214"	"0.357"	"0.357"	"0.357"
"Hant"	"Hant"	"12"	"en-US"	"Latn"	"9"	"0.4444"	"14"	"0.0783"	"1"	"3.67"	"0.214"	"0.357"	"0.357"	"0.357"
"Hant"	"Hant"	"12"	"fr-FR"	"Latn"	"9"	"0.4259"	"14"	"0.0783"	"1"	"3.67"	"0.214"	"0.357"	"0.357"	"0.357"
"Hant"	"Hant"	"12"	"zh-Hans-CN"	"Hans"	"37"	"0.3333"	"15"	"0.1433"	"0.7083"	"1.38"	"0.133"	"0.143"	"0.214"	"2.6"
"Hant"	"Hant"	"12"	"zh-Hant-HK"	"Hant"	"29"	"0.1481"	"15"	"0.1561"	"0.7727"	"1.76"	"0.133"	"0.133"	"0.357"	"1.357"
